date;title;link;description
 28.03.2024 ;Функциональщина в Python — это плохая идея?;https://www.youtube.com/watch?v=OHbkCb38pwk;['', 'Функциональное программирование — не самый популярный подход к написанию кода на Python. Но у ФП в Python есть активные сторонники. Они широко применяют и продвигают модули вроде functools, itertools из стандартной библиотеки и пакеты вроде toolz, funcy, returns и др. Мы рассмотрим, как идеи элегантного ФП кода и красивых математических абстракций сталкиваются с реальностью интерпретатора CPython и культуры pythonic кода. Доклад будет полезен программистам на Python, интересующимся функциональным программированием (уже применяющим его или заинтересованным в применении) и желающим обсудить, насколько ФП нужно и полезно им в Python. Предполагается знание основных концепций ФП (чистые функции, побочные эффекты, функции высшего порядка).', '']
 28.03.2024 ;Mojo — революция или хайп?;https://www.youtube.com/watch?v=kzNwVdA3t_s;['', 'В мае разработчики движка Modular опубликовали публичную версию языка Mojo. Код на Mojo выглядит один-в-один, как код на питоне, и это не случайно. Mojo — это одновременно под- и надмножество питона, позволяющее выжимать адскую производительность в требовательных к CPU задачах — например, в задачах ML и AI. Подробностей пока мало: запустить Mojo локально нельзя, можно лишь воспользоваться специальной версией Jupyter Notebook, доступ к которой выдаётся через лист ожидания. Из материалов про Mojo пока доступны в основном только красивые презентации его авторов (показывающие, например, ускорение относительно CPython в тысячи раз на задаче умножения двух матриц). Я получил доступ к превью Mojo и немного в нём поковырялся. Так что теперь давайте вместе во время доклада попробуем разобраться, есть ли у этой разработки шансы на революцию, или это просто попытка выехать на хайпе вокруг AI?', '']
 28.03.2024 ;Почему мы написали еще один фреймворк для Python;https://www.youtube.com/watch?v=C92Yq9ibW94;['']
 29.03.2024 ;lxml - 5.1.1;https://pypi.org/project/lxml/5.1.1/;['Мощный и быстрый модуль для обработки XML/HTML. Скачать можно по ссылке: https://pypi.python.org/pypi/lxml/']
 28.03.2024 ;Это мы юзаем: библиотека Optuna в Python для оптимизации гиперпараметров;https://habr.com/ru/companies/otus/articles/801463/;['', 'Гиперпараметры — это параметры, которые не учатся в процессе обучения модели. Они задаются заранее. От выбора гиперпараметров напрямую зависит качество и эффективность модели, а их оптимизация может улучшить результаты предсказаний.', '']
 29.03.2024 ;lxml - 5.0.2;https://pypi.org/project/lxml/5.0.2/;['Мощный и быстрый модуль для обработки XML/HTML. Скачать можно по ссылке: https://pypi.python.org/pypi/lxml/']
 28.03.2024 ;Reading and Writing WAV Files in Python;https://realpython.com/python-wav-files/;['']
 27.03.2024 ;Python Bytes: #376 Every dunder method in a Python Lockbox;https://pythonbytes.fm/episodes/show/376/every-dunder-method-in-a-python-lockbox;['', 'Очередной выпуск англоязычного подкаста Python Bytes', '']
 28.03.2024 ;pymongo - 4.6.3;https://pypi.org/project/pymongo/4.6.3/;['Python интерфейс для MongoDB. Скачать можно по ссылке: https://pypi.python.org/pypi/pymongo/']
 28.03.2024 ;django-tinymce - 4.0.0;https://pypi.org/project/django-tinymce/4.0.0/;['Интеграция редактора TinyMCE в админ панель Django. Скачать можно по ссылке: https://pypi.python.org/pypi/django-tinymce/']
 28.03.2024 ;selenium - 4.19.0;https://pypi.org/project/selenium/4.19.0/;['Модуль для автоматизации тестирования web-приложений. Скачать можно по ссылке: https://pypi.python.org/pypi/selenium/']
 27.03.2024 ;django-filter - 24.2;https://pypi.org/project/django-filter/24.2/;['Django-приложение для гибкой фильтрации объектов модели (querysets). Скачать можно по ссылке: https://pypi.python.org/pypi/django-filter/']
 27.03.2024 ;kombu - 5.3.6;https://pypi.org/project/kombu/5.3.6/;['Фреймворк для работы с AMQP. Скачать можно по ссылке: https://pypi.python.org/pypi/kombu/']
 25.03.2024 ;Линейный дискриминантный анализ (LDA). Принцип работы и реализация с нуля на Python;https://habr.com/ru/articles/802511/;['', 'Линейный дискриминантный анализ (Linear Discriminant Analysis или LDA) — алгоритм классификации и понижения размерности, позволяющий производить разделение классов наилучшим образом.', '']
 25.03.2024 ;Сводка от pythonz net 17.03.2024 — 24.03.2024;https://pythonz.net/articles/531/;['', 'А теперь о том, что происходило в последнее время на других ресурсах.', '']
 23.03.2024 ;Python Bytes: #375 Pointing at Countries;https://pythonbytes.fm/episodes/show/375/pointing-at-countries;['', 'Очередной выпуск англоязычного подкаста Python Bytes', '']
 24.03.2024 ;SQLAlchemy - 2.0.29;https://pypi.org/project/sqlalchemy/2.0.29/;['Библиотека работы с базами данных. Скачать можно по ссылке: https://pypi.python.org/pypi/SQLAlchemy/']
 23.03.2024 ;Talk Python to Me: #454: Data Pipelines with Dagster;https://talkpython.fm/episodes/show/454/data-pipelines-with-dagster;['', 'Audio', '']
 23.03.2024 ;Пишем асинхронный парсер и скрапер картинок на Python с графическим интерфейсом;https://habr.com/ru/articles/801981/;['', 'В этой статье мы создадим desktop-приложение, которое по нашему запросу будет сохранять на нашем диске заданное количество картинок. Так как картинок будет много, мы воспользуемся асинхронностью Python для конкурентной реализации операций ввода-вывода. Посмотрим, чем отличаются библиотеки requests и aiohttp. Также создадим два дополнительных потока приложения, чтобы обойти глобальную блокировку интерпретатора Python.', '']
 23.03.2024 ;Контроллер управления по типу Аккерманна на базе 4-колёсной мобильной платформы (ROS Noetic);https://habr.com/ru/articles/802069/;['', 'В данной работе рассматривает пример создания симуляционной модели четырёхколёсной мобильной платформы с рулевым управления по типу Аккреманна, с использованием фреймворка ROS, контроллер написан на языке Python.', '']
 23.03.2024 ;Метод опорных векторов (SVM). Подходы, принцип работы и реализация с нуля на Python;https://habr.com/ru/articles/802185/;['', 'Метод опорных векторов (Support Vector Machine или просто SVM) — мощный и универсальный набор алгоритмов для работы с данными любой формы, применяемый не только для задач классификации и регрессии, но и также для выявления аномалий. В данной статье будут рассмотрены основные подходы к созданию SVM, принцип работы, а также реализации с нуля его наиболее популярных разновидностей.', '']
 23.03.2024 ;Django REST framework - 3.15;https://www.django-rest-framework.org/community/release-notes/;['', 'The first major release since September 2022 is here! Now with Django 5.0 and Python 3.12 support as well as a long list of new features.', '']
 21.03.2024 ;hyperdiv - Build Reactive Web UIs in Python;https://github.com/hyperdiv/hyperdiv;['']
 21.03.2024 ;mountaineer - Web Framework for Python and React;https://github.com/piercefreeman/mountaineer;['']
